what,kind,bundleId,bundleVersion,description,time
java.vendor,sysinfo,,,"Oracle Corporation",1390740107957
java.version,sysinfo,,,"1.7.0_10",1390740107957
java.vm.info,sysinfo,,,"mixed mode",1390740107957
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1390740107957
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1390740107957
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1390740107957
java.vm.specification.version,sysinfo,,,"1.7",1390740107957
java.vm.vendor,sysinfo,,,"Oracle Corporation",1390740107957
java.vm.version,sysinfo,,,"23.6-b04",1390740107957
started,bundle,org.eclipse.php.debug.core,2.2.0.v20100616-1900,"org.eclipse.php.debug.core",1390740108213
started,bundle,org.eclipse.php.debug.ui,2.2.0.v20100616-1900,"org.eclipse.php.debug.ui",1390740108344
started,bundle,org.eclipse.team.cvs.core,3.3.300.I20100526-0800,"org.eclipse.team.cvs.core",1390740108927
started,bundle,org.eclipse.team.ui,3.5.100.I20100527-0800,"org.eclipse.team.ui",1390740108985
started,bundle,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console",1390740109052
started,bundle,org.eclipse.team.cvs.ui,3.3.300.I20100526-0800,"org.eclipse.team.cvs.ui",1390740109157
activated,view,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.ui.explorer",1390740113576
activated,view,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.ui.explorer",1390740113623
closed,view,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.internal.introview",1390740113655
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1390740118282
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1390740139854
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.import",1390740139862
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.import",1390740139862
started,bundle,org.eclipse.ui.browser,3.3.0.v20100517,"org.eclipse.ui.browser",1390740142117
started,bundle,org.eclipse.wst.server.core,1.1.202.v20100518,"org.eclipse.wst.server.core",1390740142242
started,bundle,org.eclipse.wst.server.ui,1.1.203.v20100601,"org.eclipse.wst.server.ui",1390740142275
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1390740142605
started,bundle,org.eclipse.wst.common.frameworks.ui,1.2.0.v201004080500,"org.eclipse.wst.common.frameworks.ui",1390740144324
started,bundle,org.eclipse.wst.validation.ui,1.2.204.v201004150700,"org.eclipse.wst.validation.ui",1390740144326
started,bundle,org.eclipse.wst.validation,1.2.200.v201005271900,"org.eclipse.wst.validation",1390740144352
started,bundle,org.eclipse.wst.common.project.facet.core,1.4.100.v201005190114,"org.eclipse.wst.common.project.facet.core",1390740144368
started,bundle,org.eclipse.php.server.ui,2.2.0.v20100616-1900,"org.eclipse.php.server.ui",1390740162056
started,bundle,org.eclipse.compare,3.5.100.I20100526-0800,"org.eclipse.compare",1390740184748
started,bundle,org.eclipse.compare.core,3.5.100.I20100526-0800,"org.eclipse.compare.core",1390740184831
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1390740237520
executed,command,org.eclipse.ui.ide,3.6.0.I20100601-0800,"org.eclipse.ui.project.buildAutomatically",1390740241755
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1390740244382
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1390740246314
